"tradingsymbol_nse","instrument_key_nse","instrument_key_bse"
"MRO-TEK","NSE_EQ|INE398B01018","BSE_EQ|INE398B01018"
"875NHAI29","NSE_EQ|INE906B07DF8","BSE_EQ|INE906B07DF8"
"BANCOINDIA","NSE_EQ|INE213C01025","BSE_EQ|INE213C01025"
"850NHAI29","NSE_EQ|INE906B07DE1","BSE_EQ|INE906B07DE1"
"GARUDA","NSE_EQ|INE0JVO01026","BSE_EQ|INE0JVO01026"
"KESORAMIND","NSE_EQ|INE087A01019","BSE_EQ|INE087A01019"
"FSL","NSE_EQ|INE684F01012","BSE_EQ|INE684F01012"
"RAILTEL","NSE_EQ|INE0DD101019","BSE_EQ|INE0DD101019"
"BUTTERFLY","NSE_EQ|INE295F01017","BSE_EQ|INE295F01017"
"TCHF30","NSE_EQ|INE033L08270","BSE_EQ|INE033L08270"
"SAKSOFT","NSE_EQ|INE667G01023","BSE_EQ|INE667G01023"
"RENUKA","NSE_EQ|INE087H01022","BSE_EQ|INE087H01022"
"GULPOLY","NSE_EQ|INE255D01024","BSE_EQ|INE255D01024"
"RADIANTCMS","NSE_EQ|INE855R01021","BSE_EQ|INE855R01021"
"85LTF26","NSE_EQ|INE027E07BB0","BSE_EQ|INE027E07BB0"
"BAJAJHIND","NSE_EQ|INE306A01021","BSE_EQ|INE306A01021"
"APLAPOLLO","NSE_EQ|INE702C01027","BSE_EQ|INE702C01027"
"865LTF26","NSE_EQ|INE027E07BC8","BSE_EQ|INE027E07BC8"
"ORIENTBELL","NSE_EQ|INE607D01018","BSE_EQ|INE607D01018"
"KRSNAA","NSE_EQ|INE08LI01020","BSE_EQ|INE08LI01020"
"GANGESSECU","NSE_EQ|INE335W01016","BSE_EQ|INE335W01016"
"SHREDIGCEM","NSE_EQ|INE232A01011","BSE_EQ|INE232A01011"
"BSLGOLDETF","NSE_EQ|INF209KB18D3","BSE_EQ|INF209KB18D3"
"HERCULES","NSE_EQ|INE688E01024","BSE_EQ|INE688E01024"
"MAXIND","NSE_EQ|INE0CG601016","BSE_EQ|INE0CG601016"
"SETUINFRA","NSE_EQ|INE023M01027","BSE_EQ|INE023M01027"
"SGBMAR28X","NSE_EQ|IN0020190552","BSE_EQ|IN0020190552"
"SGBFEB28IX","NSE_EQ|IN0020190545","BSE_EQ|IN0020190545"
"SOLARINDS","NSE_EQ|INE343H01029","BSE_EQ|INE343H01029"
"OILCOUNTUB","NSE_EQ|INE591A01010","BSE_EQ|INE591A01010"
"ABSLNN50ET","NSE_EQ|INF209KB16D7","BSE_EQ|INF209KB16D7"
"SGBJ28VIII","NSE_EQ|IN0020190537","BSE_EQ|IN0020190537"
"RELIGARE","NSE_EQ|INE621H01010","BSE_EQ|INE621H01010"
"KIRLOSBROS","NSE_EQ|INE732A01036","BSE_EQ|INE732A01036"
"GESHIP","NSE_EQ|INE017A01032","BSE_EQ|INE017A01032"
"MANGALAM","NSE_EQ|INE584F01014","BSE_EQ|INE584F01014"
"PVRINOX","NSE_EQ|INE191H01014","BSE_EQ|INE191H01014"
"OPTIEMUS","NSE_EQ|INE350C01017","BSE_EQ|INE350C01017"
"ABGSEC","NSE_EQ|INF209KC1134","BSE_EQ|INF209KC1134"
"MUTHOOTMF","NSE_EQ|INE046W01019","BSE_EQ|INE046W01019"
"STYLEBAAZA","NSE_EQ|INE01FR01028","BSE_EQ|INE01FR01028"
"QGOLDHALF","NSE_EQ|INF082J01408","BSE_EQ|INF082J01408"
"JNKINDIA","NSE_EQ|INE0OAF01028","BSE_EQ|INE0OAF01028"
"AAREYDRUGS","NSE_EQ|INE198H01019","BSE_EQ|INE198H01019"
"FELDVR","NSE_EQ|IN9623B01058","BSE_EQ|IN9623B01058"
"ABSLBANETF","NSE_EQ|INF209KB17D5","BSE_EQ|INF209KB17D5"
"676GS2061","NSE_EQ|IN0020200401","BSE_EQ|IN0020200401"
"NYKAA","NSE_EQ|INE388Y01029","BSE_EQ|INE388Y01029"
"SGBMR29XII","NSE_EQ|IN0020200427","BSE_EQ|IN0020200427"
"ODIGMA","NSE_EQ|INE054301028","BSE_EQ|INE054301028"
"MANINDS","NSE_EQ|INE993A01026","BSE_EQ|INE993A01026"
"BAIDFIN","NSE_EQ|INE020D01022","BSE_EQ|INE020D01022"
"VIPIND","NSE_EQ|INE054A01027","BSE_EQ|INE054A01027"
"CENTURYPLY","NSE_EQ|INE348B01021","BSE_EQ|INE348B01021"
"UTIAMC","NSE_EQ|INE094J01016","BSE_EQ|INE094J01016"
"GSEC10ABSL","NSE_EQ|INF209KC1142","BSE_EQ|INF209KC1142"
"GINNIFILA","NSE_EQ|INE424C01010","BSE_EQ|INE424C01010"
"SGBNV29VII","NSE_EQ|IN0020210178","BSE_EQ|IN0020210178"
"ABB","NSE_EQ|INE117A01022","BSE_EQ|INE117A01022"
"574GS2026","NSE_EQ|IN0020210186","BSE_EQ|IN0020210186"
"AXITA","NSE_EQ|INE02EZ01022","BSE_EQ|INE02EZ01022"
"699GS2051","NSE_EQ|IN0020210194","BSE_EQ|IN0020210194"
"CALSOFT","NSE_EQ|INE526B01014","BSE_EQ|INE526B01014"
"IIFL","NSE_EQ|INE530B01024","BSE_EQ|INE530B01024"
"DCI","NSE_EQ|INE0A1101019","BSE_EQ|INE0A1101019"
"ZUARI","NSE_EQ|INE840M01016","BSE_EQ|INE840M01016"
"GREENPLY","NSE_EQ|INE461C01038","BSE_EQ|INE461C01038"
"RACLGEAR","NSE_EQ|INE704B01017","BSE_EQ|INE704B01017"
"ZENITHSTL","NSE_EQ|INE318D01020","BSE_EQ|INE318D01020"
"RAJRILTD","NSE_EQ|INE533D01032","BSE_EQ|INE533D01032"
"NESTLEIND","NSE_EQ|INE239A01024","BSE_EQ|INE239A01024"
"INDIASHLTR","NSE_EQ|INE922K01024","BSE_EQ|INE922K01024"
"ORCHPHARMA","NSE_EQ|INE191A01027","BSE_EQ|INE191A01027"
"ZOMATO","NSE_EQ|INE758T01015","BSE_EQ|INE758T01015"
"AAATECH","NSE_EQ|INE0D0U01013","BSE_EQ|INE0D0U01013"
"77MH34","NSE_EQ|IN2220230147","BSE_EQ|IN2220230147"
"NUCLEUS","NSE_EQ|INE096B01018","BSE_EQ|INE096B01018"
"77MH33A","NSE_EQ|IN2220230154","BSE_EQ|IN2220230154"
"SADBHIN","NSE_EQ|INE764L01010","BSE_EQ|INE764L01010"
"ABSLPSE","NSE_EQ|INF209KB19Z4","BSE_EQ|INF209KB19Z4"
"773MH36","NSE_EQ|IN2220230188","BSE_EQ|IN2220230188"
"HARSHA","NSE_EQ|INE0JUS01029","BSE_EQ|INE0JUS01029"
"SIMPLEXINF","NSE_EQ|INE059B01024","BSE_EQ|INE059B01024"
"ITC","NSE_EQ|INE154A01025","BSE_EQ|INE154A01025"
"SNOWMAN","NSE_EQ|INE734N01019","BSE_EQ|INE734N01019"
"ISFT","NSE_EQ|INE566K01011","BSE_EQ|INE566K01011"
"POLYCAB","NSE_EQ|INE455K01017","BSE_EQ|INE455K01017"
"SGBJUL29IV","NSE_EQ|IN0020210111","BSE_EQ|IN0020210111"
"SGBAUG29V","NSE_EQ|IN0020210129","BSE_EQ|IN0020210129"
"SRM","NSE_EQ|INE0R6Z01013","BSE_EQ|INE0R6Z01013"
"747MH34","NSE_EQ|IN2220230121","BSE_EQ|IN2220230121"
"RAYMONDLSL","NSE_EQ|INE02ID01020","BSE_EQ|INE02ID01020"
"771MH33","NSE_EQ|IN2220230139","BSE_EQ|IN2220230139"
"JYOTICNC","NSE_EQ|INE980O01024","BSE_EQ|INE980O01024"
"74MH32","NSE_EQ|IN2220230105","BSE_EQ|IN2220230105"
"SGBSEP29VI","NSE_EQ|IN0020210145","BSE_EQ|IN0020210145"
"667GS2035","NSE_EQ|IN0020210152","BSE_EQ|IN0020210152"
"746MH33","NSE_EQ|IN2220230113","BSE_EQ|IN2220230113"
"SGBMAY29I","NSE_EQ|IN0020210053","BSE_EQ|IN0020210053"
"830PFCL27","NSE_EQ|INE134E07208","BSE_EQ|INE134E07208"
"SGBJUN29II","NSE_EQ|IN0020210061","BSE_EQ|IN0020210061"
"SGBJU29III","NSE_EQ|IN0020210087","BSE_EQ|IN0020210087"
"BHARATGEAR","NSE_EQ|INE561C01019","BSE_EQ|INE561C01019"
"BAJAJCON","NSE_EQ|INE933K01021","BSE_EQ|INE933K01021"
"ALPA","NSE_EQ|INE385I01010","BSE_EQ|INE385I01010"
"AUROPHARMA","NSE_EQ|INE406A01037","BSE_EQ|INE406A01037"
"ABSLLIQUID","NSE_EQ|INF209KB18T9","BSE_EQ|INF209KB18T9"
"CLEDUCATE","NSE_EQ|INE201M01029","BSE_EQ|INE201M01029"
"GODAVARIB","NSE_EQ|INE497S01012","BSE_EQ|INE497S01012"
"WCIL","NSE_EQ|INE0CJF01024","BSE_EQ|INE0CJF01024"
"EVEREADY","NSE_EQ|INE128A01029","BSE_EQ|INE128A01029"
"733MH31","NSE_EQ|IN2220230055","BSE_EQ|IN2220230055"
"TIMETECHNO","NSE_EQ|INE508G01029","BSE_EQ|INE508G01029"
"72MH28","NSE_EQ|IN2220230030","BSE_EQ|IN2220230030"
"732MH32","NSE_EQ|IN2220230063","BSE_EQ|IN2220230063"
"USHAMART","NSE_EQ|INE228A01035","BSE_EQ|INE228A01035"
"SANATHAN","NSE_EQ|INE0JPD01013","BSE_EQ|INE0JPD01013"
"ARROWGREEN","NSE_EQ|INE570D01018","BSE_EQ|INE570D01018"
"SILVER","NSE_EQ|INF209KB19F6","BSE_EQ|INF209KB19F6"
"SURAJLTD","NSE_EQ|INE713C01016","BSE_EQ|INE713C01016"
"BSLNIFTY","NSE_EQ|INF209KB19D1","BSE_EQ|INF209KB19D1"
"736MH28","NSE_EQ|IN2220230014","BSE_EQ|IN2220230014"
"563GS2026","NSE_EQ|IN0020210012","BSE_EQ|IN0020210012"
"664GS2035","NSE_EQ|IN0020210020","BSE_EQ|IN0020210020"
"ONESOURCE","NSE_EQ|INE013P01021","BSE_EQ|INE013P01021"
"770RECL26","NSE_EQ|INE020B08FC8","BSE_EQ|INE020B08FC8"
"753RECL34","NSE_EQ|INE020B08FB0","BSE_EQ|INE020B08FB0"
"1030SFIL26","NSE_EQ|INE244L07309","BSE_EQ|INE244L07309"
"759RL27","NSE_EQ|INE020B08FA2","BSE_EQ|INE020B08FA2"
"SYMPHONY","NSE_EQ|INE225D01027","BSE_EQ|INE225D01027"
"CENTEXT","NSE_EQ|INE281A01026","BSE_EQ|INE281A01026"
"745RECL35","NSE_EQ|INE020B08FG9","BSE_EQ|INE020B08FG9"
"966SFIL25A","NSE_EQ|INE244L07333","BSE_EQ|INE244L07333"
"SUNDRMFAST","NSE_EQ|INE387A01021","BSE_EQ|INE387A01021"
"756RECL27","NSE_EQ|INE020B08FF1","BSE_EQ|INE020B08FF1"
"735RECL34","NSE_EQ|INE020B08FE4","BSE_EQ|INE020B08FE4"
"980SFIL28","NSE_EQ|INE244L07317","BSE_EQ|INE244L07317"
"758RECL29","NSE_EQ|INE020B08FD6","BSE_EQ|INE020B08FD6"
"745RL34","NSE_EQ|INE020B08EZ2","BSE_EQ|INE020B08EZ2"
"RATNAMANI","NSE_EQ|INE703B01027","BSE_EQ|INE703B01027"
"984SFIL26A","NSE_EQ|INE244L07390","BSE_EQ|INE244L07390"
"747RL34","NSE_EQ|INE020B08EY5","BSE_EQ|INE020B08EY5"
"SHRIRAMPPS","NSE_EQ|INE217L01019","BSE_EQ|INE217L01019"
"764RL27","NSE_EQ|INE020B08EX7","BSE_EQ|INE020B08EX7"
"771REC27","NSE_EQ|INE020B08EW9","BSE_EQ|INE020B08EW9"
"CCCL","NSE_EQ|INE429I01024","BSE_EQ|INE429I01024"
"DENORA","NSE_EQ|INE244A01016","BSE_EQ|INE244A01016"
"EASEMYTRIP","NSE_EQ|INE07O001026","BSE_EQ|INE07O001026"
"PURVA","NSE_EQ|INE323I01011","BSE_EQ|INE323I01011"
"PNGJL","NSE_EQ|INE953R01016","BSE_EQ|INE953R01016"
"SHAHALLOYS","NSE_EQ|INE640C01011","BSE_EQ|INE640C01011"
"ZENITHEXPO","NSE_EQ|INE058B01018","BSE_EQ|INE058B01018"
"764REC34","NSE_EQ|INE020B08EV1","BSE_EQ|INE020B08EV1"
"M&M","NSE_EQ|INE101A01026","BSE_EQ|INE101A01026"
"SBC","NSE_EQ|INE04AK01028","BSE_EQ|INE04AK01028"
"INDIAGLYCO","NSE_EQ|INE560A01015","BSE_EQ|INE560A01015"
"692AP41","NSE_EQ|IN1020210416","BSE_EQ|IN1020210416"
"APOLLOHOSP","NSE_EQ|INE437A01024","BSE_EQ|INE437A01024"
"IWEL","NSE_EQ|INE0FLR01028","BSE_EQ|INE0FLR01028"
"985SFIL28","NSE_EQ|INE244L07416","BSE_EQ|INE244L07416"
"925SFIL25I","NSE_EQ|INE244L07424","BSE_EQ|INE244L07424"
"ASHOKLEY","NSE_EQ|INE208A01029","BSE_EQ|INE208A01029"
"DOLLAR","NSE_EQ|INE325C01035","BSE_EQ|INE325C01035"
"940SFIL28","NSE_EQ|INE244L07408","BSE_EQ|INE244L07408"
"731AP42","NSE_EQ|IN1020210556","BSE_EQ|IN1020210556"
"759GS2026","NSE_EQ|IN0020150093","BSE_EQ|IN0020150093"
"965SFIL25I","NSE_EQ|INE244L07457","BSE_EQ|INE244L07457"
"MATRIMONY","NSE_EQ|INE866R01028","BSE_EQ|INE866R01028"
"888SFIL25C","NSE_EQ|INE244L07432","BSE_EQ|INE244L07432"
"KAVVERITEL","NSE_EQ|INE641C01019","BSE_EQ|INE641C01019"
"98SFIL26","NSE_EQ|INE244L07499","BSE_EQ|INE244L07499"
"HEXATRADEX","NSE_EQ|INE750M01017","BSE_EQ|INE750M01017"
"723SBI39","NSE_EQ|INE062A08470","BSE_EQ|INE062A08470"
"SFIL25","NSE_EQ|INE244L07473","BSE_EQ|INE244L07473"
"KALYANKJIL","NSE_EQ|INE303R01014","BSE_EQ|INE303R01014"
"736SBI39","NSE_EQ|INE062A08439","BSE_EQ|INE062A08439"
"736SBOI39","NSE_EQ|INE062A08421","BSE_EQ|INE062A08421"
"SADHNANIQ","NSE_EQ|INE888C01040","BSE_EQ|INE888C01040"
"MEGASOFT","NSE_EQ|INE933B01012","BSE_EQ|INE933B01012"
"TATAPOWER","NSE_EQ|INE245A01021","BSE_EQ|INE245A01021"
"CARRARO","NSE_EQ|INE0V7W01012","BSE_EQ|INE0V7W01012"
"MANINFRA","NSE_EQ|INE949H01023","BSE_EQ|INE949H01023"
"UTKARSHBNK","NSE_EQ|INE735W01017","BSE_EQ|INE735W01017"
"DCXINDIA","NSE_EQ|INE0KL801015","BSE_EQ|INE0KL801015"
"ITDC","NSE_EQ|INE353K01014","BSE_EQ|INE353K01014"
"709RL39","NSE_EQ|INE020B08FK1","BSE_EQ|INE020B08FK1"
"799RCFL27","NSE_EQ|INE027A08028","BSE_EQ|INE027A08028"
"DEEPAKNTR","NSE_EQ|INE288B01029","BSE_EQ|INE288B01029"
"0RL34","NSE_EQ|INE020B08FJ3","BSE_EQ|INE020B08FJ3"
"731RECL39","NSE_EQ|INE020B08FI5","BSE_EQ|INE020B08FI5"
"SUBROS","NSE_EQ|INE287B01021","BSE_EQ|INE287B01021"
"STANLEY","NSE_EQ|INE01A001028","BSE_EQ|INE01A001028"
"755RECL26","NSE_EQ|INE020B08FH7","BSE_EQ|INE020B08FH7"
"RHL","NSE_EQ|INE508K01013","BSE_EQ|INE508K01013"
"NIBE","NSE_EQ|INE149O01018","BSE_EQ|INE149O01018"
"748AP38","NSE_EQ|IN1020210549","BSE_EQ|IN1020210549"
"720RECL35","NSE_EQ|INE020B08FN5","BSE_EQ|INE020B08FN5"
"WINDMACHIN","NSE_EQ|INE052A01021","BSE_EQ|INE052A01021"
"1025SFIL26","NSE_EQ|INE244L07507","BSE_EQ|INE244L07507"
"728RECL40","NSE_EQ|INE020B08FO3","BSE_EQ|INE020B08FO3"
"710RECL35","NSE_EQ|INE020B08FM7","BSE_EQ|INE020B08FM7"
"DELHIVERY","NSE_EQ|INE148O01028","BSE_EQ|INE148O01028"
"THOMASCOOK","NSE_EQ|INE332A01027","BSE_EQ|INE332A01027"
"734RL30","NSE_EQ|INE020B08FL9","BSE_EQ|INE020B08FL9"
"RAMCOCEM","NSE_EQ|INE331A01037","BSE_EQ|INE331A01037"
"CREST","NSE_EQ|INE559D01011","BSE_EQ|INE559D01011"
"INDHOTEL","NSE_EQ|INE053A01029","BSE_EQ|INE053A01029"
"714AP41","NSE_EQ|IN1020210226","BSE_EQ|IN1020210226"
"865SCL26","NSE_EQ|INE148I07GJ7","BSE_EQ|INE148I07GJ7"
"714AP36","NSE_EQ|IN1020210200","BSE_EQ|IN1020210200"
"885SCL26","NSE_EQ|INE148I07GK5","BSE_EQ|INE148I07GK5"
"698AP36","NSE_EQ|IN1020210267","BSE_EQ|IN1020210267"
"CREATIVEYE","NSE_EQ|INE230B01021","BSE_EQ|INE230B01021"
"JBMA","NSE_EQ|INE927D01051","BSE_EQ|INE927D01051"
"931SFIL26A","NSE_EQ|INE244L07150","BSE_EQ|INE244L07150"
"DEVIT","NSE_EQ|INE060X01026","BSE_EQ|INE060X01026"
"686AP35","NSE_EQ|IN1020210275","BSE_EQ|IN1020210275"
"ICICIBANK","NSE_EQ|INE090A01021","BSE_EQ|INE090A01021"
"BLUESTARCO","NSE_EQ|INE472A01039","BSE_EQ|INE472A01039"
"NDTV","NSE_EQ|INE155G01029","BSE_EQ|INE155G01029"
"9SCL26BA","NSE_EQ|INE148I07GL3","BSE_EQ|INE148I07GL3"
"92SFIL28","NSE_EQ|INE244L07184","BSE_EQ|INE244L07184"
"97SFIL26A","NSE_EQ|INE244L07176","BSE_EQ|INE244L07176"
"MTEDUCARE","NSE_EQ|INE472M01018","BSE_EQ|INE472M01018"
"SCLZC26","NSE_EQ|INE148I07GN9","BSE_EQ|INE148I07GN9"
"UPL","NSE_EQ|INE628A01036","BSE_EQ|INE628A01036"
"DIFFNKG","NSE_EQ|INE184O01015","BSE_EQ|INE184O01015"
"96SFIL24A","NSE_EQ|INE244L07168","BSE_EQ|INE244L07168"
"ANDHRAPAP","NSE_EQ|INE435A01051","BSE_EQ|INE435A01051"
"875TCAPS29","NSE_EQ|INE306N08334","BSE_EQ|INE306N08334"
"740IIFCL33","NSE_EQ|INE787H07156","BSE_EQ|INE787H07156"
"MSPL","NSE_EQ|INE752G01015","BSE_EQ|INE752G01015"
"NIVABUPA","NSE_EQ|INE995S01015","BSE_EQ|INE995S01015"
"ATUL","NSE_EQ|INE100A01010","BSE_EQ|INE100A01010"
"885TCAPS29","NSE_EQ|INE306N08342","BSE_EQ|INE306N08342"
"SALASAR","NSE_EQ|INE170V01027","BSE_EQ|INE170V01027"
"LAMBODHARA","NSE_EQ|INE112F01022","BSE_EQ|INE112F01022"
"714MH29","NSE_EQ|IN2220190093","BSE_EQ|IN2220190093"
"BESTAGRO","NSE_EQ|INE052T01013","BSE_EQ|INE052T01013"
"GLAXO","NSE_EQ|INE159A01016","BSE_EQ|INE159A01016"
"MKPL","NSE_EQ|INE964W01021","BSE_EQ|INE964W01021"
"714AP41A","NSE_EQ|IN1020210341","BSE_EQ|IN1020210341"
"SAH","NSE_EQ|INE035801013","BSE_EQ|INE035801013"
"3IINFOLTD","NSE_EQ|INE748C01038","BSE_EQ|INE748C01038"
"709AP39","NSE_EQ|IN1020210325","BSE_EQ|IN1020210325"
"704AP34","NSE_EQ|IN1020210317","BSE_EQ|IN1020210317"
"CEIGALL","NSE_EQ|INE0AG901020","BSE_EQ|INE0AG901020"
"HLVLTD","NSE_EQ|INE102A01024","BSE_EQ|INE102A01024"
"708AP35","NSE_EQ|IN1020210374","BSE_EQ|IN1020210374"
"IRMENERGY","NSE_EQ|INE07U701015","BSE_EQ|INE07U701015"
"NECCLTD","NSE_EQ|INE553C01016","BSE_EQ|INE553C01016"
