"tradingsymbol","instrument_key_nse","instrument_key_bse"
"BFSI","NSE_EQ|INF769K01HI8","BSE_EQ|INF769K01HI8"
"BFUTILITIE","NSE_EQ|INE243D01012","BSE_EQ|INE243D01012"
"BGRENERGY","NSE_EQ|INE661I01014","BSE_EQ|INE661I01014"
"BHAGCHEM","NSE_EQ|INE414D01027","BSE_EQ|INE414D01027"
"BHAGERIA","NSE_EQ|INE354C01027","BSE_EQ|INE354C01027"
"BHAGYANGR","NSE_EQ|INE458B01036","BSE_EQ|INE458B01036"
"BHANDARI","NSE_EQ|INE474E01029","BSE_EQ|INE474E01029"
"BHARATFORG","NSE_EQ|INE465A01025","BSE_EQ|INE465A01025"
"BHARATGEAR","NSE_EQ|INE561C01019","BSE_EQ|INE561C01019"
"BHARATWIRE","NSE_EQ|INE316L01019","BSE_EQ|INE316L01019"
"BHARTIARTL","NSE_EQ|INE397D01024","BSE_EQ|INE397D01024"
"BHARTIHEXA","NSE_EQ|INE343G01021","BSE_EQ|INE343G01021"
"BHEL","NSE_EQ|INE257A01026","BSE_EQ|INE257A01026"
"BIGBLOC","NSE_EQ|INE412U01025","BSE_EQ|INE412U01025"
"BIKAJI","NSE_EQ|INE00E101023","BSE_EQ|INE00E101023"
"BINANIIND","NSE_EQ|INE071A01013","BSE_EQ|INE071A01013"
"BIOCON","NSE_EQ|INE376G01013","BSE_EQ|INE376G01013"
"BIOFILCHEM","NSE_EQ|INE829A01014","BSE_EQ|INE829A01014"
"BIRET","NSE_EQ|INE0FDU25010","BSE_EQ|INE0FDU25010"
"BIRLACABLE","NSE_EQ|INE800A01015","BSE_EQ|INE800A01015"
"BIRLACORPN","NSE_EQ|INE340A01012","BSE_EQ|INE340A01012"
"BIRLAMONEY","NSE_EQ|INE865C01022","BSE_EQ|INE865C01022"
"BLACKBUCK","NSE_EQ|INE0UIZ01018","BSE_EQ|INE0UIZ01018"
"BLAL","NSE_EQ|INE0N7W01012","BSE_EQ|INE0N7W01012"
"BLBLIMITED","NSE_EQ|INE791A01024","BSE_EQ|INE791A01024"
"BLISSGVS","NSE_EQ|INE416D01022","BSE_EQ|INE416D01022"
"BLKASHYAP","NSE_EQ|INE350H01032","BSE_EQ|INE350H01032"
"BLS","NSE_EQ|INE153T01027","BSE_EQ|INE153T01027"
"BLSE","NSE_EQ|INE0NLT01010","BSE_EQ|INE0NLT01010"
"BLUECHIP","NSE_EQ|INE657B01025","BSE_EQ|INE657B01025"
"BLUECOAST","NSE_EQ|INE472B01011","BSE_EQ|INE472B01011"
"BLUEDART","NSE_EQ|INE233B01017","BSE_EQ|INE233B01017"
"BLUEJET","NSE_EQ|INE0KBH01020","BSE_EQ|INE0KBH01020"
"BLUESTARCO","NSE_EQ|INE472A01039","BSE_EQ|INE472A01039"
"BODALCHEM","NSE_EQ|INE338D01028","BSE_EQ|INE338D01028"
"BOMDYEING","NSE_EQ|INE032A01023","BSE_EQ|INE032A01023"
"BOROLTD","NSE_EQ|INE02PY01013","BSE_EQ|INE02PY01013"
"BORORENEW","NSE_EQ|INE666D01022","BSE_EQ|INE666D01022"
"BOROSCI","NSE_EQ|INE02L001032","BSE_EQ|INE02L001032"
"BPCL","NSE_EQ|INE029A01011","BSE_EQ|INE029A01011"
"BPL","NSE_EQ|INE110A01019","BSE_EQ|INE110A01019"
"BRIGADE","NSE_EQ|INE791I01019","BSE_EQ|INE791I01019"
"BRITANNIA","NSE_EQ|INE216A01030","BSE_EQ|INE216A01030"
"BRNL","NSE_EQ|INE727S01012","BSE_EQ|INE727S01012"
"BROOKS","NSE_EQ|INE650L01011","BSE_EQ|INE650L01011"
"BSE500IETF","NSE_EQ|INF109KC1V59","BSE_EQ|INF109KC1V59"
"BSL","NSE_EQ|INE594B01012","BSE_EQ|INE594B01012"
"BSLGOLDETF","NSE_EQ|INF209KB18D3","BSE_EQ|INF209KB18D3"
"BSLNIFTY","NSE_EQ|INF209KB19D1","BSE_EQ|INF209KB19D1"
"BSLSENETFG","NSE_EQ|INF209KB10E8","BSE_EQ|INF209KB10E8"
"BSOFT","NSE_EQ|INE836A01035","BSE_EQ|INE836A01035"
"BTML","NSE_EQ|INE0EEJ01023","BSE_EQ|INE0EEJ01023"
"BUTTERFLY","NSE_EQ|INE295F01017","BSE_EQ|INE295F01017"
"BVCL","NSE_EQ|INE139I01011","BSE_EQ|INE139I01011"
"BYKE","NSE_EQ|INE319B01014","BSE_EQ|INE319B01014"
"CALSOFT","NSE_EQ|INE526B01014","BSE_EQ|INE526B01014"
"CALSOFTPP","NSE_EQ|IN9526B01012","BSE_EQ|IN9526B01012"
"CAMLINFINE","NSE_EQ|INE052I01032","BSE_EQ|INE052I01032"
"CAMPUS","NSE_EQ|INE278Y01022","BSE_EQ|INE278Y01022"
"CAMS","NSE_EQ|INE596I01012","BSE_EQ|INE596I01012"
"CANBK","NSE_EQ|INE476A01022","BSE_EQ|INE476A01022"
"CANFINHOME","NSE_EQ|INE477A01020","BSE_EQ|INE477A01020"
"CANTABIL","NSE_EQ|INE068L01024","BSE_EQ|INE068L01024"
"CAPACITE","NSE_EQ|INE264T01014","BSE_EQ|INE264T01014"
"CAPINVIT","NSE_EQ|INE0Z8Z23013","BSE_EQ|INE0Z8Z23013"
"CAPITALSFB","NSE_EQ|INE646H01017","BSE_EQ|INE646H01017"
"CAPLIPOINT","NSE_EQ|INE475E01026","BSE_EQ|INE475E01026"
"CAPTRUST","NSE_EQ|INE707C01018","BSE_EQ|INE707C01018"
"CARBORUNIV","NSE_EQ|INE120A01034","BSE_EQ|INE120A01034"
"CAREERP","NSE_EQ|INE521J01018","BSE_EQ|INE521J01018"
"CARERATING","NSE_EQ|INE752H01013","BSE_EQ|INE752H01013"
"CARRARO","NSE_EQ|INE0V7W01012","BSE_EQ|INE0V7W01012"
"CARTRADE","NSE_EQ|INE290S01011","BSE_EQ|INE290S01011"
"CARYSIL","NSE_EQ|INE482D01024","BSE_EQ|INE482D01024"
"CASTROLIND","NSE_EQ|INE172A01027","BSE_EQ|INE172A01027"
"CCCL","NSE_EQ|INE429I01024","BSE_EQ|INE429I01024"
"CCHHL","NSE_EQ|INE652F01027","BSE_EQ|INE652F01027"
"CCL","NSE_EQ|INE421D01022","BSE_EQ|INE421D01022"
"CEATLTD","NSE_EQ|INE482A01020","BSE_EQ|INE482A01020"
"CEIGALL","NSE_EQ|INE0AG901020","BSE_EQ|INE0AG901020"
"CELEBRITY","NSE_EQ|INE185H01016","BSE_EQ|INE185H01016"
"CELLO","NSE_EQ|INE0LMW01024","BSE_EQ|INE0LMW01024"
"CENTENKA","NSE_EQ|INE485A01015","BSE_EQ|INE485A01015"
"CENTEXT","NSE_EQ|INE281A01026","BSE_EQ|INE281A01026"
"CENTRALBK","NSE_EQ|INE483A01010","BSE_EQ|INE483A01010"
"CENTRUM","NSE_EQ|INE660C01027","BSE_EQ|INE660C01027"
"CENTUM","NSE_EQ|INE320B01020","BSE_EQ|INE320B01020"
"CENTURYPLY","NSE_EQ|INE348B01021","BSE_EQ|INE348B01021"
"CERA","NSE_EQ|INE739E01017","BSE_EQ|INE739E01017"
"CEREBRAINT","NSE_EQ|INE345B01019","BSE_EQ|INE345B01019"
"CESC","NSE_EQ|INE486A01021","BSE_EQ|INE486A01021"
"CEWATER","NSE_EQ|INE037Z01029","BSE_EQ|INE037Z01029"
"CGCL","NSE_EQ|INE180C01042","BSE_EQ|INE180C01042"
"CGPOWER","NSE_EQ|INE067A01029","BSE_EQ|INE067A01029"
"CHALET","NSE_EQ|INE427F01016","BSE_EQ|INE427F01016"
"CHAMBLFERT","NSE_EQ|INE085A01013","BSE_EQ|INE085A01013"
"CHEMBOND","NSE_EQ|INE995D01025","BSE_EQ|INE995D01025"
"CHEMCON","NSE_EQ|INE03YM01018","BSE_EQ|INE03YM01018"
"CHEMFAB","NSE_EQ|INE783X01023","BSE_EQ|INE783X01023"
"CHEMPLASTS","NSE_EQ|INE488A01050","BSE_EQ|INE488A01050"
"CHENNPETRO","NSE_EQ|INE178A01016","BSE_EQ|INE178A01016"
"CHEVIOT","NSE_EQ|INE974B01016","BSE_EQ|INE974B01016"
"CHOICEIN","NSE_EQ|INE102B01014","BSE_EQ|INE102B01014"
"CHOLAFIN","NSE_EQ|INE121A01024","BSE_EQ|INE121A01024"
"CHOLAHLDNG","NSE_EQ|INE149A01033","BSE_EQ|INE149A01033"
"CIEINDIA","NSE_EQ|INE536H01010","BSE_EQ|INE536H01010"
"CIF27","NSE_EQ|INE121A07RS9","BSE_EQ|INE121A07RS9"
"CIF29","NSE_EQ|INE121A07RU5","BSE_EQ|INE121A07RU5"
"CIFC28","NSE_EQ|INE121A07RI0","BSE_EQ|INE121A07RI0"
"CIGNITITEC","NSE_EQ|INE675C01017","BSE_EQ|INE675C01017"
"CINELINE","NSE_EQ|INE704H01022","BSE_EQ|INE704H01022"
"CINEVISTA","NSE_EQ|INE039B01026","BSE_EQ|INE039B01026"
"CIPLA","NSE_EQ|INE059A01026","BSE_EQ|INE059A01026"
"CLEAN","NSE_EQ|INE227W01023","BSE_EQ|INE227W01023"
"CLEDUCATE","NSE_EQ|INE201M01029","BSE_EQ|INE201M01029"
"CLSEL","NSE_EQ|INE419D01026","BSE_EQ|INE419D01026"
"CMSINFO","NSE_EQ|INE925R01014","BSE_EQ|INE925R01014"
"COALINDIA","NSE_EQ|INE522F01014","BSE_EQ|INE522F01014"
"COASTCORP","NSE_EQ|INE377E01024","BSE_EQ|INE377E01024"
"COCHINSHIP","NSE_EQ|INE704P01025","BSE_EQ|INE704P01025"
"COFFEEDAY","NSE_EQ|INE335K01011","BSE_EQ|INE335K01011"
"COFORGE","NSE_EQ|INE591G01017","BSE_EQ|INE591G01017"
"COLPAL","NSE_EQ|INE259A01022","BSE_EQ|INE259A01022"
"COMMOIETF","NSE_EQ|INF109KC19O8","BSE_EQ|INF109KC19O8"
"COMPINFO","NSE_EQ|INE070C01037","BSE_EQ|INE070C01037"
"COMPUSOFT","NSE_EQ|INE453B01029","BSE_EQ|INE453B01029"
"COMSYN","NSE_EQ|INE073V01015","BSE_EQ|INE073V01015"
"CONCOR","NSE_EQ|INE111A01025","BSE_EQ|INE111A01025"
"CONCORDBIO","NSE_EQ|INE338H01029","BSE_EQ|INE338H01029"
"CONFIPET","NSE_EQ|INE552D01024","BSE_EQ|INE552D01024"
"CONSUMER","NSE_EQ|INF769K01NS5","BSE_EQ|INF769K01NS5"
"CONSUMIETF","NSE_EQ|INF109KC1V42","BSE_EQ|INF109KC1V42"
"CONTROLPR","NSE_EQ|INE663B01015","BSE_EQ|INE663B01015"
"CORALFINAC","NSE_EQ|INE558D01021","BSE_EQ|INE558D01021"
"CORDSCABLE","NSE_EQ|INE792I01017","BSE_EQ|INE792I01017"
"COROMANDEL","NSE_EQ|INE169A01031","BSE_EQ|INE169A01031"
"COSMOFIRST","NSE_EQ|INE757A01017","BSE_EQ|INE757A01017"
"COUNCODOS","NSE_EQ|INE695B01025","BSE_EQ|INE695B01025"
"CPSEETF","NSE_EQ|INF457M01133","BSE_EQ|INF457M01133"
"CRAFTSMAN","NSE_EQ|INE00LO01017","BSE_EQ|INE00LO01017"
"CREATIVEYE","NSE_EQ|INE230B01021","BSE_EQ|INE230B01021"
"CREDITACC","NSE_EQ|INE741K01010","BSE_EQ|INE741K01010"
"CREST","NSE_EQ|INE559D01011","BSE_EQ|INE559D01011"
"CRISIL","NSE_EQ|INE007A01025","BSE_EQ|INE007A01025"
"CROMPTON","NSE_EQ|INE299U01018","BSE_EQ|INE299U01018"
"CSBBANK","NSE_EQ|INE679A01013","BSE_EQ|INE679A01013"
"CSLFINANCE","NSE_EQ|INE718F01018","BSE_EQ|INE718F01018"
"CTE","NSE_EQ|INE627H01017","BSE_EQ|INE627H01017"
"CUB","NSE_EQ|INE491A01021","BSE_EQ|INE491A01021"
"CUBEINVIT","NSE_EQ|INE0NR623014","BSE_EQ|INE0NR623014"
"CUBEXTUB","NSE_EQ|INE144D01012","BSE_EQ|INE144D01012"
"CUMMINSIND","NSE_EQ|INE298A01020","BSE_EQ|INE298A01020"
"CUPID","NSE_EQ|INE509F01029","BSE_EQ|INE509F01029"
"CYBERMEDIA","NSE_EQ|INE278G01037","BSE_EQ|INE278G01037"
"CYBERTECH","NSE_EQ|INE214A01019","BSE_EQ|INE214A01019"
"CYIENT","NSE_EQ|INE136B01020","BSE_EQ|INE136B01020"
"CYIENTDLM","NSE_EQ|INE055S01018","BSE_EQ|INE055S01018"
"DABUR","NSE_EQ|INE016A01026","BSE_EQ|INE016A01026"
"DALBHARAT","NSE_EQ|INE00R701025","BSE_EQ|INE00R701025"
"DALMIASUG","NSE_EQ|INE495A01022","BSE_EQ|INE495A01022"
"DAMCAPITAL","NSE_EQ|INE284H01025","BSE_EQ|INE284H01025"
"DAMODARIND","NSE_EQ|INE497D01022","BSE_EQ|INE497D01022"
"DATAMATICS","NSE_EQ|INE365B01017","BSE_EQ|INE365B01017"
"DATAPATTNS","NSE_EQ|INE0IX101010","BSE_EQ|INE0IX101010"
"DAVANGERE","NSE_EQ|INE179G01029","BSE_EQ|INE179G01029"
"DBCORP","NSE_EQ|INE950I01011","BSE_EQ|INE950I01011"
"DBEIL","NSE_EQ|INE0OPA01019","BSE_EQ|INE0OPA01019"
"DBL","NSE_EQ|INE917M01012","BSE_EQ|INE917M01012"
"DBOL","NSE_EQ|INE0I3401014","BSE_EQ|INE0I3401014"
"DBREALTY","NSE_EQ|INE879I01012","BSE_EQ|INE879I01012"
"DBSTOCKBRO","NSE_EQ|INE921B01025","BSE_EQ|INE921B01025"
"DCAL","NSE_EQ|INE385W01011","BSE_EQ|INE385W01011"
"DCBBANK","NSE_EQ|INE503A01015","BSE_EQ|INE503A01015"
"DCI","NSE_EQ|INE0A1101019","BSE_EQ|INE0A1101019"
"DCM","NSE_EQ|INE498A01018","BSE_EQ|INE498A01018"
"DCMFINSERV","NSE_EQ|INE891B01012","BSE_EQ|INE891B01012"
"DCMNVL","NSE_EQ|INE08KP01019","BSE_EQ|INE08KP01019"
"DCMSHRIRAM","NSE_EQ|INE499A01024","BSE_EQ|INE499A01024"
"DCMSRIND","NSE_EQ|INE843D01027","BSE_EQ|INE843D01027"
"DCW","NSE_EQ|INE500A01029","BSE_EQ|INE500A01029"
"DCXINDIA","NSE_EQ|INE0KL801015","BSE_EQ|INE0KL801015"
"DDEVPLSTIK","NSE_EQ|INE0HR601026","BSE_EQ|INE0HR601026"
"DECCANCE","NSE_EQ|INE583C01021","BSE_EQ|INE583C01021"
"DEEDEV","NSE_EQ|INE841L01016","BSE_EQ|INE841L01016"
"DEEPAKFERT","NSE_EQ|INE501A01019","BSE_EQ|INE501A01019"
"DEEPAKNTR","NSE_EQ|INE288B01029","BSE_EQ|INE288B01029"
"DEEPINDS","NSE_EQ|INE0FHS01024","BSE_EQ|INE0FHS01024"
"DELHIVERY","NSE_EQ|INE148O01028","BSE_EQ|INE148O01028"
"DELPHIFX","NSE_EQ|INE726L01019","BSE_EQ|INE726L01019"
"DELTACORP","NSE_EQ|INE124G01033","BSE_EQ|INE124G01033"
"DELTAMAGNT","NSE_EQ|INE393A01011","BSE_EQ|INE393A01011"
"DEN","NSE_EQ|INE947J01015","BSE_EQ|INE947J01015"
"DENORA","NSE_EQ|INE244A01016","BSE_EQ|INE244A01016"
"DENTA","NSE_EQ|INE0R4L01018","BSE_EQ|INE0R4L01018"
"DEVIT","NSE_EQ|INE060X01026","BSE_EQ|INE060X01026"
"DEVYANI","NSE_EQ|INE872J01023","BSE_EQ|INE872J01023"
"DGCONTENT","NSE_EQ|INE03JI01017","BSE_EQ|INE03JI01017"
"DHAMPURSUG","NSE_EQ|INE041A01016","BSE_EQ|INE041A01016"
"DHANBANK","NSE_EQ|INE680A01011","BSE_EQ|INE680A01011"
"DHANI","NSE_EQ|INE274G01010","BSE_EQ|INE274G01010"
"DHANUKA","NSE_EQ|INE435G01025","BSE_EQ|INE435G01025"
"DHARMAJ","NSE_EQ|INE00OQ01016","BSE_EQ|INE00OQ01016"
"DHRUV","NSE_EQ|INE506Z01015","BSE_EQ|INE506Z01015"
"DHUNINV","NSE_EQ|INE320L01011","BSE_EQ|INE320L01011"
"DIACABS","NSE_EQ|INE989C01038","BSE_EQ|INE989C01038"
"DIAMINESQ","NSE_EQ|INE591D01014","BSE_EQ|INE591D01014"
"DIAMONDYD","NSE_EQ|INE393P01035","BSE_EQ|INE393P01035"
"DICIND","NSE_EQ|INE303A01010","BSE_EQ|INE303A01010"
"DIFFNKG","NSE_EQ|INE184O01015","BSE_EQ|INE184O01015"
"DIGIDRIVE","NSE_EQ|INE0PSC01024","BSE_EQ|INE0PSC01024"
"DIGISPICE","NSE_EQ|INE927C01020","BSE_EQ|INE927C01020"
"DIGJAMLMTD","NSE_EQ|INE731U01028","BSE_EQ|INE731U01028"
"DISHTV","NSE_EQ|INE836F01026","BSE_EQ|INE836F01026"
"DIVGIITTS","NSE_EQ|INE753U01022","BSE_EQ|INE753U01022"
"DIVISLAB","NSE_EQ|INE361B01024","BSE_EQ|INE361B01024"
"DIXON","NSE_EQ|INE935N01020","BSE_EQ|INE935N01020"
"DJML","NSE_EQ|INE0B1K01014","BSE_EQ|INE0B1K01014"
"DLF","NSE_EQ|INE271C01023","BSE_EQ|INE271C01023"
"DLINKINDIA","NSE_EQ|INE250K01012","BSE_EQ|INE250K01012"
"DMART","NSE_EQ|INE192R01011","BSE_EQ|INE192R01011"
"DMCC","NSE_EQ|INE505A01010","BSE_EQ|INE505A01010"
"DNAMEDIA","NSE_EQ|INE016M01021","BSE_EQ|INE016M01021"
"DODLA","NSE_EQ|INE021O01019","BSE_EQ|INE021O01019"
"DOLATALGO","NSE_EQ|INE966A01022","BSE_EQ|INE966A01022"
"DOLLAR","NSE_EQ|INE325C01035","BSE_EQ|INE325C01035"
"DOLPHIN","NSE_EQ|INE920A01037","BSE_EQ|INE920A01037"
"DOMS","NSE_EQ|INE321T01012","BSE_EQ|INE321T01012"
"DONEAR","NSE_EQ|INE668D01028","BSE_EQ|INE668D01028"
"DPABHUSHAN","NSE_EQ|INE266Y01019","BSE_EQ|INE266Y01019"
"DPWIRES","NSE_EQ|INE864X01013","BSE_EQ|INE864X01013"
"DRCSYSTEMS","NSE_EQ|INE03RS01027","BSE_EQ|INE03RS01027"
"DREAMFOLKS","NSE_EQ|INE0JS101016","BSE_EQ|INE0JS101016"
"DREDGECORP","NSE_EQ|INE506A01018","BSE_EQ|INE506A01018"
"DRREDDY","NSE_EQ|INE089A01031","BSE_EQ|INE089A01031"
"DSSL","NSE_EQ|INE417B01040","BSE_EQ|INE417B01040"
"DTIL","NSE_EQ|INE341R01014","BSE_EQ|INE341R01014"
"DUCON","NSE_EQ|INE741L01018","BSE_EQ|INE741L01018"
"DVL","NSE_EQ|INE477B01010","BSE_EQ|INE477B01010"
"DWARKESH","NSE_EQ|INE366A01041","BSE_EQ|INE366A01041"
"DYCL","NSE_EQ|INE600Y01019","BSE_EQ|INE600Y01019"
"DYNAMATECH","NSE_EQ|INE221B01012","BSE_EQ|INE221B01012"
"DYNPRO","NSE_EQ|INE256H01015","BSE_EQ|INE256H01015"
"EASEMYTRIP","NSE_EQ|INE07O001026","BSE_EQ|INE07O001026"
"EBBETF0425","NSE_EQ|INF754K01LD3","BSE_EQ|INF754K01LD3"
"EBBETF0430","NSE_EQ|INF754K01KO2","BSE_EQ|INF754K01KO2"
"EBBETF0431","NSE_EQ|INF754K01LE1","BSE_EQ|INF754K01LE1"
"EBBETF0433","NSE_EQ|INF754K01QX0","BSE_EQ|INF754K01QX0"
"ECAPINSURE","NSE_EQ|INF754K01TX4","BSE_EQ|INF754K01TX4"
"ECLERX","NSE_EQ|INE738I01010","BSE_EQ|INE738I01010"
"ECOSMOBLTY","NSE_EQ|INE06HJ01020","BSE_EQ|INE06HJ01020"
"EDELWEISS","NSE_EQ|INE532F01054","BSE_EQ|INE532F01054"
